street,hero_hand,spr,in_position,num_players,board_texture,action_history
flop,5d3h,10.0,0,13,two-tone,C
flop,2cAc,10.0,0,13,two-tone,C
flop,Td9d,10.0,0,13,two-tone,C
flop,TdAd,10.0,0,13,two-tone,C
flop,5c8s,10.0,0,13,two-tone,C
flop,9s6s,10.0,0,12,two-tone,C
flop,7cJc,10.0,0,12,rainbow,C
flop,5h5s,10.0,0,11,rainbow,
flop,7dAh,10.0,0,13,two-tone,C
flop,Jh9h,10.0,0,13,two-tone,C
flop,8hAh,10.0,0,13,two-tone,C
flop,7c7s,10.0,0,13,two-tone,C
flop,9s8s,10.0,0,13,two-tone,C
flop,AsKs,10.0,0,13,rainbow,R
flop,9s9d,10.0,0,13,rainbow,C
flop,8h7h,10.0,0,13,two-tone,C
flop,Tc7c,10.0,0,13,rainbow,C
flop,QdAc,10.0,0,13,rainbow,C
flop,Qc8s,10.0,0,13,two-tone,C
flop,4d5c,10.0,0,13,two-tone,C
flop,JhKs,10.0,0,13,monotone,C
flop,2cKc,10.0,0,13,two-tone,C
flop,KdAs,10.0,0,13,two-tone,R
flop,9dTh,10.0,0,12,rainbow,C
flop,8s7s,10.0,0,12,rainbow,C
flop,QcJd,10.0,0,13,rainbow,R
flop,KdJd,10.0,0,13,rainbow,C
flop,7c7d,10.0,0,12,rainbow,C
flop,7c8h,10.0,0,13,two-tone,C
flop,Tc8c,10.0,0,13,two-tone,C
flop,QcTd,10.0,0,13,two-tone,C
flop,AcQd,10.0,0,13,two-tone,C
flop,JcTc,10.0,0,13,two-tone,C
flop,Qd5d,10.0,0,13,two-tone,
flop,Ad8s,10.0,0,13,monotone,R
flop,4sAc,10.0,0,12,two-tone,C
flop,8hKh,10.0,0,12,rainbow,R
flop,4sJs,10.0,0,12,two-tone,C
flop,Qc9d,10.0,0,13,two-tone,C
flop,2h2c,10.0,0,13,two-tone,C
flop,2d2h,10.0,0,13,rainbow,C
flop,9sAh,10.0,0,13,two-tone,C
flop,6s5h,10.0,0,13,rainbow,C
flop,AdKd,10.0,0,13,monotone,C
flop,8s7h,10.0,0,13,two-tone,C
flop,TsQc,10.0,0,13,two-tone,C
flop,As9h,10.0,0,13,two-tone,C
flop,2hAc,10.0,0,13,two-tone,C
flop,ThJd,10.0,0,13,two-tone,C
flop,Ks7s,10.0,0,11,rainbow,C
flop,9sAd,10.0,0,12,two-tone,C
flop,QhQd,10.0,0,13,two-tone,R
flop,AsKd,10.0,0,13,two-tone,C
flop,8d8h,10.0,0,13,rainbow,C
flop,KhJd,10.0,0,13,rainbow,C
flop,6d6h,10.0,0,13,rainbow,C
flop,8s7s,10.0,0,13,rainbow,C
flop,KdQh,10.0,0,13,two-tone,R
flop,TdAd,10.0,0,13,rainbow,R
flop,KdAd,10.0,0,13,rainbow,C
flop,Ad8d,10.0,0,13,two-tone,C
flop,KhKs,10.0,0,13,two-tone,C
flop,8c8h,10.0,0,13,rainbow,C
flop,Tc7d,10.0,0,11,monotone,C
flop,8s6s,10.0,0,13,two-tone,R
flop,JsAs,10.0,0,12,rainbow,C
flop,8h2d,10.0,0,12,rainbow,
flop,2hAh,10.0,0,12,two-tone,C
flop,8sJs,10.0,0,13,monotone,C
flop,9sAs,10.0,0,13,two-tone,C
flop,Jd7d,10.0,0,13,rainbow,R
flop,5cTc,10.0,0,13,two-tone,C
flop,7cAd,10.0,0,13,rainbow,C
flop,6c6d,10.0,0,13,two-tone,C
flop,9cAh,10.0,0,13,monotone,
flop,JdAs,10.0,0,13,rainbow,C
flop,8c8h,10.0,0,12,rainbow,C
flop,KhKd,10.0,0,12,rainbow,
flop,9sQd,10.0,0,13,rainbow,C
flop,JhJd,10.0,0,12,rainbow,C
flop,Kc3c,10.0,0,13,two-tone,C
flop,JsKs,10.0,0,11,rainbow,
flop,KhQd,10.0,0,11,rainbow,R
flop,Qd9c,10.0,0,13,two-tone,R
flop,7dAd,10.0,0,13,two-tone,C
flop,3s3d,10.0,0,13,rainbow,C
flop,Kc2h,10.0,0,13,two-tone,
flop,QhAs,10.0,0,13,two-tone,C
flop,QdAd,10.0,0,12,two-tone,C
flop,KhJs,10.0,0,13,rainbow,R
flop,7cAs,10.0,0,13,two-tone,C
flop,8sTs,10.0,0,13,rainbow,C
flop,JdJh,10.0,0,13,two-tone,C
flop,Kd5d,10.0,0,13,two-tone,C
flop,8s7c,10.0,0,13,two-tone,C
flop,Ah5h,10.0,0,9,rainbow,C
flop,9h8h,10.0,0,9,rainbow,C
flop,QcJc,10.0,0,12,two-tone,C
flop,6d2h,10.0,0,12,rainbow,
flop,JsTs,10.0,0,12,rainbow,
flop,9d8d,10.0,0,13,rainbow,C
flop,Qh7h,10.0,0,13,two-tone,C
flop,4s4d,10.0,0,13,rainbow,C
flop,8s9s,10.0,0,13,two-tone,C
flop,Ks4h,10.0,0,13,two-tone,C
flop,7dJd,10.0,0,13,two-tone,
flop,5d7d,10.0,0,13,two-tone,C
